matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N170US;2001;A321-211;
N17104;1994;757-224;
N17105;1994;757-224;
N17108;2002;EMB-145XR;
N17115;2002;EMB-145XR;
N17122;1997;757-224;
N17126;1998;757-224;
N17138;2003;EMB-145XR;
N17139;2000;757-224;
N17146;2003;EMB-145XR;
N17156;1996;CL-600-2B19;
N17159;2004;EMB-145XR;
N17175;1997;CL-600-2B19;
N17185;2005;EMB-145XR;
N17196;2005;EMB-145XR;
N171US;2001;A321-211;
N17229;1999;737-824;
N17231;1998;CL-600-2B19;
N17233;1999;737-824;
N17244;1999;737-824;
N17245;1999;737-824;
N17275;1998;CL-600-2B19;
N172US;2001;A321-211;
N17337;1999;CL-600-2B19;
N17344;1987;737-3TO;
N17345;1987;737-3TO;
N17356;1988;737-3TO;
N17358;;CL-600-2B19;
N173AT;2004;737-76N;
N173US;2001;A321-211;
N174AT;2004;737-76N;
N174DZ;1998;767-332;
N174US;;A321-211;
N175AT;2004;737-76N;
N175AW;1987;737-33A;
N175DN;1990;767-332;
N17614;;;
N17619;1994;737-524;
N17620;1994;737-524;
N17627;1995;737-524;
N17640;1997;737-524;
N17644;1997;737-524;
N176AT;2005;737-76N;
N176UW;2001;A321-211;
N17719;1999;737-724;
N17730;1999;737-724;
N177US;;A321-211;
N178DZ;2000;767-332;
N178JB;2005;ERJ 190-100 IGW;
N178US;2001;A321-211;
N17928;1996;EMB-145EP;
N17984;2000;EMB-145LR;
N1799U;1969;DC-9-31;
N179JB;2005;ERJ 190-100 IGW;
N179UW;2001;A321-211;
N180US;2001;A321-211;
N18101;2002;EMB-145XR;
N18102;2002;EMB-145XR;
N18114;2002;EMB-145XR;
N18119;1997;757-224;
N18120;2003;EMB-145XR;
N181UA;1991;747-422;
N181UW;;A321-211;
N18220;1998;737-824;
N18223;1998;737-824;
N18243;1999;737-824;
N182UW;2001;A321-211;
N183JB;2005;ERJ 190-100 IGW;
N183UW;2001;A321-211;
N184AT;2005;737-76N;
N184JB;2005;ERJ 190-100 IGW;
N184US;2002;A321-211;
N18556;2002;EMB-145LR;
N18557;;EMB-145LR;
N185DN;1995;767-332;
N185UW;2002;A321-211;
N18611;1994;737-524;
N186US;2002;A321-211;
N187JB;2005;ERJ 190-100 IGW;
N187US;2002;A321-211;
N188US;2002;A321-211;
N18982;2000;EMB-145LR;
N189UW;2001;A321-211;
N190JB;2005;ERJ 190-100 IGW;
N190UW;2001;A321-211;
N19130;1998;757-224;
N19136;1999;757-224;
N19141;2000;757-224;
N191UW;2001;A321-211;
N192JB;2005;ERJ 190-100 IGW;
N192UW;2001;A321-211;
N193JB;2005;ERJ 190-100 IGW;
N193UW;;;
N194UW;;;
N19554;2002;EMB-145LR;
N195UW;;;
N19621;1994;737-524;
N19623;1995;737-524;
N19638;1997;737-524;
N196DN;1997;767-332;
N197JB;2006;ERJ 190-100 IGW;
N197UA;1997;747-422;
N198JB;2006;ERJ 190-100 IGW;
N19966;1999;EMB-145LR;
N200AA;;;
N200WN;2005;737-7H4;
N201AA;1959;150;
N201FR;;A320-214;
N201LV;2005;737-7H4;
N201UU;1995;757-2B7;
N202AA;1980;421C;
N202FR;2008;A320-214;
N202UA;1990;737-322;
