matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N539AA;;;
N539UA;1991;757-222;
N540AA;;;
N540UA;1991;757-222;
N541AA;1982;C90;
N541UA;1991;757-222;
N54241;1999;737-824;
N542AA;;;
N542UA;1991;757-222;
N543AA;;;
N543UA;;;
N544AA;2007;VANS AIRCRAFT RV6;
N544UA;1991;757-222;
N545AA;1976;PA-32R-300;
N545UA;1991;757-222;
N546AA;;;
N546AS;2005;737-890;
N546UA;1991;757-222;
N54711;1998;737-724;
N547AA;1985;FALCON XP;
N547JB;2002;A320-232;
N547UA;1991;757-222;
N548AA;;;
N548AS;2005;737-890;
N548CA;2008;CL600-2D24;
N548UA;1992;757-222;
N549AA;;;
N549AS;2005;737-8FH;
N549CA;2008;CL600-2D24;
N549UA;1992;757-222;
N550AA;1964;HST-550;
N550WN;2001;737-76Q;
N551AA;1985;FALCON XP;
N551AS;2006;737-890;
N551NW;2001;757-251;
N551WN;2001;737-76Q;
N552AA;1991;DC-9-82(MD-82);
N552AS;2006;737-890;
N552JB;2002;A320-232;
N552UA;1992;757-222;
N553AA;1991;DC-9-82(MD-82);
N553AS;2006;737-890;
N553NW;2001;757-251;
N553UA;1992;757-222;
N554AA;1991;DC-9-82(MD-82);
N554CA;2008;CL600-2D24;
N554JB;2002;A320-232;
N554NW;2001;757-251;
N554UA;1992;757-222;
N555AA;;;
N555UA;1992;757-222;
N556AA;1991;DC-9-82(MD-82);
N556AS;2006;737-890;
N556NW;2002;757-251;
N556UA;1992;757-222;
N557AA;1993;KITFOX IV;
N557AS;2006;737-890;
N557NW;2002;757-251;
N557UA;1992;757-222;
N558AA;1991;DC-9-82(MD-82);
N558AS;2006;737-890;
N558JB;2003;A320-232;
N558UA;1992;757-222;
N559AA;1991;DC-9-82(MD-82);
N559AS;2006;737-890;
N559JB;2003;A320-232;
N559UA;1992;757-222;
N560AA;;;
N560AS;2006;737-890;
N560SW;1998;EMB-120ER;
N560UA;1992;757-222;
N561AA;1991;DC-9-82(MD-82);
N561JB;2003;A320-232;
N561SW;1998;EMB-120;
N561UA;1992;757-222;
N562AA;1987;DC-9-83(MD-83);
N562AS;2006;737-890;
N562JB;2003;A320-232;
N562SW;1998;EMB-120;
N562UA;1992;757-222;
N563AA;1987;DC-9-83(MD-83);
N563AS;2006;737-890;
N563JB;2003;A320-232;
N563SW;1998;EMB-120;
N563UA;1992;757-222;
N564AA;1987;DC-9-83(MD-83);
N564AS;2006;737-890;
N564JB;2003;A320-232;
N564SW;1998;EMB-120;
N564UA;1992;757-222;
N565AA;1987;DC-9-83(MD-83);
N565AS;2006;737-890;
N565JB;2003;A320-232;
N565SW;1998;EMB-120;
N565UA;1992;757-222;
N566AA;1987;DC-9-83(MD-83);
N566AS;2007;737-890;
N566JB;2003;A320-232;
N566SW;1998;EMB-120ER;
N566UA;1992;757-222;
N567AA;1959;OTTER DHC-3;
N567SW;1998;EMB-120ER;
N567UA;1992;757-222;
N56859;2004;757-324;
N568AA;1987;DC-9-83(MD-83);
N568AS;2007;737-890;
N568JB;2003;A320-232;
N568SW;1998;EMB-120ER;
N568UA;1992;757-222;
N569AA;1987;DC-9-83(MD-83);
N569AS;2007;737-890;
N569JB;2003;A320-232;
N569SW;1998;EMB-120ER;
N569UA;1992;757-222;
N570AA;1987;DC-9-83(MD-83);
N570AS;2007;737-890;
N570JB;2003;A320-232;
N570ML;1997;CL-600-2B19;
N570UA;1992;757-222;
N57111;1994;757-224;
N571AA;1987;DC-9-83(MD-83);
N571JB;2003;A320-232;
N571ML;1997;CL-600-2B19;
N571UA;1992;757-222;
N572AA;1987;DC-9-83(MD-83);
N572UA;1992;757-222;
N573AA;1991;DC-9-82(MD-82);
N573UA;1992;757-222;
N574AA;1991;DC-9-82(MD-82);
N574UA;1992;757-222;
N575AA;1963;210-5(205);
N575UA;1993;757-222;
N576AA;1991;DC-9-82(MD-82);
N576SW;1998;EMB-120ER;
N576UA;1993;757-222;
N577AA;1991;DC-9-82(MD-82);
N577AS;2007;737-890;
N577UA;1993;757-222;
N57852;2001;757-324;
N57855;2004;757-324;
N57857;2004;757-324;
N57863;2001;757-33N;
N57864;2001;757-33N;
N57868;2002;757-33N;
N57869;2002;757-33N;
N578AA;1991;DC-9-82(MD-82);
N578SW;1998;EMB-120ER;
N578UA;1993;757-222;
N579AA;1991;DC-9-82(MD-82);
N579AS;2007;737-890;
N579JB;2003;A320-232;
N579SW;1998;EMB-120ER;
N579UA;1993;757-222;
N580AA;1991;DC-9-82(MD-82);
N580JB;2003;A320-232;
N580SW;1999;EMB-120ER;
N580UA;1993;757-222;
N58101;1994;757-224;
N581AA;1991;DC-9-82(MD-82);
N581AS;2007;737-890;
N581HA;2001;767-33A;
N581JB;2003;A320-232;
N581NW;2002;757-351;
N581SW;1999;EMB-120ER;
N581UA;1993;757-222;
N582AA;1991;DC-9-82(MD-82);
N582CA;2008;CL600-2D24;
N582HA;2001;767-33A;
N582JB;2003;A320-232;
N582NW;2002;757-351;
N582SW;1999;EMB-120ER;
N582UA;1993;757-222;
N583AA;1991;DC-9-82(MD-82);
N583AS;2007;737-890;
N583HA;;767-33A;
N583JB;2004;A320-232;
N583NW;2002;757-351;
N583SW;1999;EMB-120ER;
N583UA;1993;757-222;
N584AA;1991;DC-9-82(MD-82);
N584AS;2007;737-890;
N584HA;;767-3G5;
N584JB;;;
N584NW;2002;757-351;
N584SW;1999;EMB-120ER;
N584UA;1993;757-222;
N585AA;1991;DC-9-82(MD-82);
N585AS;2007;737-890;
N585HA;;767-3G5;
N585JB;2004;A320-232;
N585NW;2002;757-351;
N585SW;1999;EMB-120ER;
N585UA;1993;757-222;
N58606;1994;737-524;
N586AA;1991;DC-9-82(MD-82);
N586AS;2007;737-890;
N586HA;;767-3G5;
N586JB;2004;A320-232;
N586NW;2002;757-351;
N586SW;1999;EMB-120ER;
N586UA;1993;757-222;
N587AA;1991;DC-9-82(MD-82);
N587AS;;737-890;
N587HA;2002;767-33A;
N587JB;2004;A320-232;
N587NW;2002;757-351;
N587SW;1995;CL-600-2B19;
N587UA;1993;757-222;
N588AA;1991;DC-9-83(MD-83);
N588AS;2007;737-890;
N588HA;2002;767-3CB;
N588JB;2004;A320-232;
N588NW;2003;757-351;
N588UA;1993;757-222;
N589AA;1991;DC-9-83(MD-83);
N589AS;2007;737-890;
N589HA;2002;767-33A;
N589JB;2004;A320-232;
N589NW;2003;757-351;
N589SW;1995;CL-600-2B19;
N589UA;1997;757-222;
N590AA;1991;DC-9-83(MD-83);
N590AS;;737-890;
N590HA;2002;767-3CB;
N590JB;2004;A320-232;
N590NW;2003;757-351;
N590SW;1995;CL-600-2B19;
N590UA;1997;757-222;
N591AA;1991;DC-9-83(MD-83);
N591HA;2003;767-33A;
N591JB;2004;A320-232;
N591NW;2003;757-351;
N591SW;1995;CL-600-2B19;
N591US;1988;737-301;
N592AA;1991;DC-9-83(MD-83);
N592AS;2008;737-890;
N592HA;2003;767-3CB;
N592JB;2004;A320-232;
N592ML;;;
N592NW;2003;757-351;
N592UA;1996;757-222;
N59302;1985;737-3TO;
N59338;1987;737-3TO;
N593AA;1991;DC-9-83(MD-83);
N593AS;2008;737-890;
N593HA;2003;767-33A;
N593JB;2004;A320-232;
N593ML;;;
N593NW;2003;757-351;
N593UA;1996;757-222;
N594AA;1992;DC-9-83(MD-83);
N594AS;2008;737-890;
N594HA;1986;767-332;
N594JB;2004;A320-232;
N594NW;2003;757-351;
N594SW;1999;CL-600-2B19;
N594UA;1996;757-222;
N595AA;1992;DC-9-83(MD-83);
N595JB;2004;A320-232;
N595NW;2003;757-351;
N595SW;1999;CL-600-2B19;
N595UA;1998;757-222;
N596AA;1992;DC-9-83(MD-83);
N596AS;;737-890;
N596HA;1986;767-332;
N596NW;2003;757-351;
N596UA;1998;757-222;
N597AA;1992;DC-9-83(MD-83);
N597AS;;;
N597HA;1986;767-332;
N597JB;2004;A320-232;
N597SW;1999;CL-600-2B19;
N597UA;1998;757-222;
N598AA;1992;DC-9-83(MD-83);
N598HA;1986;767-332;
N598JB;2004;A320-232;
N598UA;1999;757-222;
N599AA;1992;DC-9-83(MD-83);
N599JB;2004;A320-232;
N5BRAA;;;
N5BSAA;;;
N5BTAA;;;
N5BUAA;;;
N5BVAA;;;
N5BWAA;;;
N5BYAA;;;
N5CAAA;;;
N5CBAA;;;
N5CCAA;;;
N5CDAA;;;
N5CEAA;;;
N5CFAA;;;
N5CGAA;;;
N5CHAA;;;
N5CJAA;;;
N5CKAA;;;
N5CMAA;;;
N5CNAA;;;
N5CPAA;;;
N5CRAA;;;
N5CSAA;;;
N5CTAA;;;
N5CUAA;;;
N5CVAA;;;
N5CWAA;;;
N5CXAA;;;
N5CYAA;;;
N5DAAA;;;
N5DBAA;;;
N5DCAA;;;
N5DDAA;;;
N5DEAA;;;
N5DFAA;;;
N5DGAA;;;
N5DHAA;;;
N5DJAA;;;
N5DKAA;;;
N5DLAA;;;
N5DNAA;;;
N5DPAA;;;
N5DSAA;;;
N5DTAA;;;
N5DUAA;;;
N5DVAA;;;
N5DWAA;;;
N5DYAA;;;
N5EAAA;;;
N5EBAA;;;
N5ECAA;;;
N5EDAA;;;
N5EEAA;;;
N5EFAA;;;
N5EGAA;;;
N5EHAA;;;
N5EKAA;;;
N5ELAA;;;
N5EMAA;;;
N5ENAA;;;
N5EPAA;;;
N5ERAA;;;
N5ESAA;;;
N5ETAA;;;
N5EUAA;;;
N5EVAA;;;
N5EWAA;;;
N5EXAA;;;
N5EYAA;;;
N5FAAA;;;
N5FBAA;;;
N5FCAA;;;
N5FDAA;;;
N5FEAA;;;
N5FFAA;;;
N5FGAA;;;
N5FHAA;;;
N5FJAA;;;
N5FKAA;;;
N5FLAA;;;
N5FMAA;;;
N5FNAA;;;
N5FPAA;;;
N5FRAA;;;
N5FSAA;;;
N5FTAA;;;
N600TR;1979;DC-9-51;
N601AW;2003;A320-232;
N601WN;1995;737-3H4;
N602AW;;A320-232;
N602DL;1984;757-232;
N602SW;1995;737-3H4;
N603AT;2001;717-200;
N603AW;1997;A320-232;
N603DL;1984;757-232;
N603JB;2005;A320-232;
N603SK;2006;CL-600-2C10;
N603SW;1995;737-3H4;
N604AW;2000;A320-232;
N604DL;1984;757-232;
N604SK;2006;CL-600-2C10;
N604SW;1995;737-3H4;
N605AW;1997;A320-232;
N605JB;2005;A320-232;
N605SW;1995;737-3H4;
N606JB;2005;A320-232;
N606SK;2006;CL-600-2C10;
N606SW;1995;737-3H4;
N607AS;1999;737-790;
N607JB;2005;A320-232;
N607SK;2006;CL-600-2C10;
N607SW;1995;737-3H4;
N608DA;1985;757-232;
N608JB;2005;A320-232;
N608SK;2006;CL-600-2C10;
N608SW;1995;737-3H4;
N609AS;1999;737-790;
N609DL;1985;757-232;
N609SK;2002;CL-600-2C10;
N609SW;1995;737-3H4;
N610AA;1989;757-223;
N610DL;1985;757-232;
N610MQ;;;
N610WN;1995;737-3H4;
N611AA;1985;F85P-1;
N611AS;1999;737-790;
N611SK;2002;CL-600-2C10;
N611SW;1995;737-3H4;
N612AA;1989;757-223;
N612AS;1999;737-790;
N612DL;1985;757-232;
N612JB;2005;A320-232;
N612MQ;;;
N612SW;1995;737-3H4;
N61304;1985;737-3TO;
N613AA;1989;757-223;
N613AS;1999;737-790;
N613JB;2005;A320-232;
N613MQ;;;
N613NW;1969;DC-9-32;
N613SK;2002;CL-600-2C10;
N613SW;1995;737-3H4;
N614AA;1989;757-223;
N614AS;1999;737-790;
N614MQ;;;
N614SK;2002;CL-600-2C10;
N614SW;1995;737-3H4;
N615AS;2000;737-790;
N615DL;1986;757-232;
N615JB;2005;A320-232;
N615MQ;;;
N615SW;1995;737-3H4;
N616AA;1989;757-223;
N616DL;1986;757-232;
N616MQ;;;
N617AA;;;
N617AS;2000;737-790;
N617DL;1986;757-232;
N617MQ;;;
N617SW;1995;737-3H4;
N618AA;1989;757-223;
N618AS;2000;737-790;
N618DL;1986;757-232;
N618JB;2005;A320-232;
N618MQ;;;
N618WN;1995;737-3H4;
N619AA;1990;757-223;
N619AS;2000;737-790;
N619AW;1995;A320-232;
N619DL;1986;757-232;
N619MQ;;;
N619SW;1995;737-3H4;
N620AA;1990;757-223;
N620AW;1989;A320-231;
N620MQ;;;
N620SW;1996;737-3H4;
N621AA;1975;172M;
N621AW;1989;A320-231;
N621DL;1986;757-232;
N621JB;2005;A320-232;
N621MQ;;;
N621SW;1996;737-3H4;
N622AA;1990;757-223;
N622AS;2000;737-790;
N622AW;1989;A320-231;
N622DL;1986;757-232;
N622MQ;;;
N622SW;1996;737-3H4;
N623AA;1990;757-223;
N623DL;1987;757-232;
N623JB;2005;A320-232;
N623MQ;;;
N623SW;1996;737-3H4;
N624AA;1990;757-223;
N624AS;2000;737-790;
N624AW;1989;A320-231;
N624DL;1987;757-232;
N624JB;2005;A320-232;
N624MQ;;;
N624SW;1996;737-3H4;
N625AA;1990;757-223;
N625AS;2001;737-790;
N625AW;1989;A320-231;
N625CA;2003;CL-600-2C10;
N625DL;1987;757-232;
N625JB;2005;A320-232;
N625MQ;;;
N625SW;1996;737-3H4;
N626AA;1990;757-223;
N626AS;2001;737-790;
N626DL;1987;757-232;
N626MQ;;;
N626SW;1996;737-3H4;
N627AA;1990;757-223;
N627AS;2001;737-790;
N627AW;1989;A320-231;
N627DL;1987;757-232;
N627JB;2005;A320-232;
N627MQ;;;
N627SW;1996;737-3H4;
N628AA;1990;757-223;
N628AW;1989;A320-231;
N628DL;1987;757-232;
N628MQ;;;
N628SW;1996;737-3H4;
N629AW;1990;A320-231;
N629BR;1998;CL-600-2B19;
N629DL;1987;757-232;
N629JB;2005;A320-232;
N629MQ;;;
N629SW;1996;737-3H4;
N630AA;1990;757-223;
N630DL;1987;757-232;
N630JB;2005;A320-232;
N630MQ;;;
N630WN;1996;737-3H4;
N631AA;1990;757-223;
N631AW;1990;A320-231;
N631DL;1987;757-232;
N631MQ;;;
N631SW;1996;737-3H4;
N632AA;1990;757-223;
N632AW;1989;A320-231;
N632DL;1987;757-232;
N632JB;2006;A320-232;
N632MQ;;;
N632SW;1996;737-3H4;
N63305;1985;737-3TO;
N633AA;1990;757-223;
N633AW;1989;A320-231;
N633DL;1987;757-232;
N633JB;2006;A320-232;
N633MQ;;;
N633SW;1996;737-3H4;
N634AW;1990;A320-231;
N634DL;1988;757-232;
N634JB;2006;A320-232;
N634MQ;;;
N634SW;1996;737-3H4;
N635AA;1990;757-223;
N635AS;;ATR 72-212;
N635DL;1988;757-232;
N635JB;2006;A320-232;
N635MQ;;;
N635SW;1996;737-3H4;
N636AA;;;
N636AS;;ATR 72-212;
N636AW;1990;A320-231;
N636DL;1988;757-232;
N636JB;2006;A320-232;
N636MQ;;;
N636WN;1996;737-3H4;
N637AA;;FALCON-XP;
N637AW;1990;A320-231;
N637DL;1988;757-232;
N637JB;2006;A320-232;
N637MQ;;;
N637SW;1996;737-3H4;
N638AA;1991;757-223;
N638JB;2006;A320-232;
N638MQ;;;
N638SW;1996;737-3H4;
N639AA;1991;757-223;
N639DL;1988;757-232;
N639JB;2006;A320-232;
N639MQ;;;
N639SW;1996;737-3H4;
N640AS;1994;ATR-72-212;
N640AW;1994;A320-232;
N640DL;1988;757-232;
N640JB;2006;A320-232;
N640MQ;;;
N640SW;1996;737-3H4;
N641AA;1991;757-223;
N641AS;1994;ATR-72-212;
N641CA;2003;CL-600-2C10;
N641DL;1988;757-232;
N641JB;2006;A320-232;
N641MQ;;;
N641SW;1996;737-3H4;
N641UA;1991;767-322;
N642AA;1991;757-223;
N642AS;1994;ATR-72-212;
N642AW;1996;A320-232;
N642CA;2003;CL-600-2C10;
N642DL;1988;757-232;
N642WN;1997;737-3H4;
N643AA;1991;757-223;
N643AS;1994;ATR-72-212;
N643DL;1989;757-232;
N643JB;2006;A320-232;
N643MQ;;;
N643SW;1997;737-3H4;
N644AS;2003;737-790;
N644AW;1992;A320-231;
N644DL;1989;757-232;
N644JB;2006;A320-232;
N644MQ;;;
N644SW;1997;737-3H4;
N644UA;1991;767-322;
N645DL;1989;757-232;
N645JB;2006;A320-232;
N645MQ;;;
N645SW;1997;737-3H4;
N646DL;1989;757-232;
N646JB;2006;A320-232;
N646MQ;;;
N646SW;1997;737-3H4;
N647AW;1997;A320-232;
N647DL;1989;757-232;
N647MQ;;;
N647SW;1997;737-3H4;
N648AS;;;
N648AW;1997;A320-232;
N648DL;1989;757-232;
N648JB;2006;A320-232;
N648MQ;;;
N648SW;1997;737-3H4;
N648UA;1992;767-322;
N649AS;2003;737-790;
N649AW;1998;A320-232;
N649DL;1989;757-232;
N649JB;2006;A320-232;
N649MQ;;;
N650AW;1998;A320-232;
N650ML;1996;CL-600-2B19;
N650MQ;;;
N650SW;1997;737-3H4;
N651AW;1998;A320-232;
N651DL;1989;757-232;
N651JB;2007;A320-232;
N651ML;;CL-600-2B19;
N651MQ;;;
N651SW;1997;737-3H4;
N651UA;1992;767-322;
N652AW;1999;A320-232;
N652DL;1989;757-232;
N652JB;2007;A320-232;
N652MQ;;;
N652SW;1997;737-3H4;
N652UA;1992;767-322;
N653AW;1999;A320-232;
N653CA;2003;CL-600-2C10;
N653DL;1990;757-232;
N653JB;2007;A320-232;
N653MQ;;;
N653SW;1997;737-3H4;
N653UA;1992;767-322;
N654AW;1999;A320-232;
N654DL;1990;757-232;
N654SW;1997;737-3H4;
N655AW;1999;A320-232;
N655CA;;CL-600-2C10;
N655DL;1990;757-232;
N655JB;2007;A320-232;
N655MQ;;;
N655UA;1992;767-322;
N655WN;1997;737-3H4;
N656AW;1999;A320-232;
N656CA;2004;CL-600-2C10;
N656DL;1990;757-232;
N656JB;2007;A320-232;
N656MQ;;;
N656SW;1997;737-3H4;
N657AW;1999;A320-232;
N657DL;1990;757-232;
N657JB;2007;A320-232;
N657MQ;;;
N657SW;1985;737-3L9;
N657UA;1993;767-322;
N658AW;1999;A320-232;
N658CA;2004;CL-600-2C10;
N658DL;1990;757-232;
N658JB;2007;A320-232;
N658MQ;;;
N658SW;1985;737-3L9;
N658UA;1993;767-322;
N659AW;2000;A320-232;
N659BR;2001;CL-600-2B19;
N659CA;2004;CL-600-2C10;
N659DL;1990;757-232;
N659MQ;;;
N659SW;1985;737-301;
N66051;2000;767-424ER;
N660AW;2000;A320-232;
N660DL;1990;757-232;
N660MQ;;;
N660SW;1985;737-301;
N660UA;1993;767-322;
N661AW;2000;A320-232;
N661DN;1990;757-232;
N661JB;2007;A320-232;
N661MQ;;;
N661UA;1993;767-322;
N662AW;2000;A320-232;
N662DN;1991;757-232;
N662JB;2007;A320-232;
N662MQ;;;
N662SW;1985;737-3Q8;
N663AW;2001;A320-232;
N663DN;1991;757-232;
N663JB;2007;A320-232;
N663MQ;;;
N663SW;1985;737-3Q8;
N663UA;1993;767-322;
N664AW;2001;A320-232;
N664DN;1991;757-232;
N664MQ;;;
N664UA;1998;767-322;
N664WN;1986;737-3Y0;
N665AW;2001;A320-232;
N665DN;1991;757-232;
N665JB;2007;A320-232;
N665MQ;;;
N665UA;1998;767-322;
N665WN;1986;737-3Y0;
N666DN;1991;757-232;
N666UA;1998;767-322;
N667AW;2002;A320-232;
N667DN;1991;757-232;
N667MQ;;;
N667UA;1998;767-322;
N668AW;2002;A320-232;
N668CA;2004;CL-600-2C10;
N668DN;1991;757-232;
N668MQ;;;
N668UA;1999;767-322;
N669AW;2002;A320-232;
N669CA;2004;CL-600-2C10;
N669DN;1991;757-232;
N669MQ;;;
N669SW;1987;737-3A4;
N669UA;1999;767-322;
N6700;1999;757-232;
N6701;1999;757-232;
N6702;1999;757-232;
N6703D;2000;757-232;
N6704Z;2000;757-232;
N67052;2000;767-424ER;
N67058;2002;767-424ER;
N6705Y;2000;757-232;
N6706Q;2000;757-232;
N6707A;2000;757-232;
N6708D;2000;757-232;
N6709;2000;757-232;
N670DN;1992;757-232;
N670MC;1976;DC-9-51;
N670MQ;;;
N670SW;1988;737-3G7;
N670UA;;767-322;
N6710E;2000;757-232;
N6711M;2000;757-232;
N6712B;2000;757-232;
N67134;1999;757-224;
N6713Y;2000;757-232;
N6714Q;2000;757-232;
N67157;2001;767-224;
N67158;2001;767-224;
N6715C;2001;757-232;
N6716C;2001;757-232;
N67171;2001;757-232;
N671DN;1992;757-232;
N671MQ;;;
N671SW;1988;737-3G7;
N671UA;1999;767-322;
N672AW;2004;A320-232;
N672DL;1992;757-232;
N672MQ;;;
N672UA;1999;767-322;
N673AW;;A320-232;
N673DL;1992;757-232;
N673MQ;;;
N673UA;2000;767-322;
N674AW;2005;A320-232;
N674DL;1992;757-232;
N674MQ;;;
N674UA;2000;767-322;
N675AA;1985;737-3A4;
N675AW;2005;A320-232;
N675BR;2002;CL-600-2B19;
N675DL;1992;757-232;
N675MC;1975;DC-9-51;
N675MQ;;;
N675UA;2000;767-322;
N676AW;2005;A320-232;
N676CA;2007;CL600-2D24;
N676DL;1992;757-232;
N676MC;1975;DC-9-51;
N676MQ;;;
N676SW;2000;737-3A4;
N676UA;2001;767-322;
N677AA;1985;737-3A4;
N677AW;2005;A320-232;
N677DL;1992;757-232;
N677MC;1977;DC-9-51;
N677MQ;;;
N677UA;2001;767-322;
N678AA;1986;737-3A4;
N678AW;2005;A320-232;
N678CA;2007;CL600-2D24;
N678DL;1998;757-232;
N678MQ;;;
N679AA;1986;737-3A4;
N679AW;2005;A320-232;
N679CA;2007;CL600-2D24;
N679DA;1992;757-232;
N679MQ;;;
N68061;2002;767-424ER;
N680AA;1986;737-3A4;
N680AW;2005;A320-232;
N680BR;2002;CL-600-2B19;
N680DA;1992;757-232;
N680MQ;;;
N68155;2001;767-224;
N68160;2001;767-224;
N681BR;2002;CL-600-2B19;
N681DA;1993;757-232;
N681MQ;;;
N682BR;2002;CL-600-2B19;
N682DA;1993;757-232;
N682MQ;;;
N682SW;1986;737-3Y0;
N683BR;2002;CL-600-2B19;
N683DA;1993;757-232;
N683MQ;;;
N683SW;1988;737-3G7;
N684BR;2002;CL-600-2B19;
N684DA;1993;757-232;
N684MQ;;;
N685BR;2002;CL-600-2B19;
N685DA;1995;757-232;
N685MQ;;;
N685SW;1986;737-3Q8;
N686BR;2003;CL-600-2B19;
N686DA;1995;757-232;
N686MQ;;;
N687DL;1998;757-232;
N687MQ;;;
N687SW;1986;737-3Q8;
N688DL;1998;757-232;
N688MQ;;;
N688SW;1985;737-3Q8;
N689CA;2007;CL600-2D24;
N689DL;1998;757-232;
N689MQ;;;
N689SW;1985;737-3Q8;
N69059;2002;767-424ER;
N69063;2002;767-424ER;
N690CA;;CL-600-2C10;
N690DL;1998;757-232;
N690MQ;;;
N690SW;1988;737-3G7;
N691CA;2007;CL600-2D24;
N691MQ;;;
N691WN;1988;737-3G7;
N692CA;2006;CL600-2D24;
N692DL;1998;757-232;
N692MQ;;;
N692SW;1985;737-3T5;
N69311;1985;737-3TO;
N69333;1986;737-3TO;
N693CA;2006;CL600-2D24;
N693DL;1998;757-232;
N693MQ;;;
N693SW;1985;737-317;
N694DL;;;
N694MQ;;;
N694SW;1985;737-3T5;
N695CA;2006;CL600-2D24;
N695DL;;;
N695MQ;;;
N695SW;1986;737-3Q8;
N69602;1994;737-524;
N69603;1994;737-524;
N696DL;;;
N696MQ;;;
N697DL;1999;757-232;
N697MQ;;;
N697SW;1988;737-3TO;
N698BR;;CL-600-2B19;
N698DL;1999;757-232;
N698MQ;;;
N698SW;1986;737-317;
N699BR;2003;CL-600-2B19;
N699DL;1999;757-232;
N699MQ;;;
N699SW;1987;737-3Y0;
N700GS;1997;737-7H4;
N700UW;1998;A319-112;
N701GS;1997;737-7H4;
N701SK;2004;CL-600-2C10;
N701UW;1998;A319-112;
N702MQ;;;
N702SK;2004;CL-600-2C10;
N702UW;1998;A319-112;
N70352;1987;737-3TO;
N703AS;1998;737-490;
N703JB;2008;A320-232;
N703MQ;;;
N703SK;2004;CL-600-2C10;
N703SW;1997;737-7H4;
N703UW;1998;A319-112;
N704SW;1998;737-7H4;
N704US;1998;A319-112;
N704X;1997;757-2Q8;
N705AS;1998;737-490;
N705JB;2008;A320-232;
N705MQ;;;
N705SK;2004;CL-600-2C10;
N705SW;1998;737-7H4;
N705TW;1997;757-231;
N705UW;;A319-112;
N706AS;1998;737-490;
N706JB;2008;A320-232;
N706MQ;;;
N706SK;2004;CL-600-2C10;
N706SW;1998;737-7H4;
N707EV;2002;CL-600-2C10;
N707MQ;;;
N707SA;1998;737-7H4;
N707SK;1999;CL-600-2C10;
N708AS;1999;737-490;
N708EV;2002;CL-600-2C10;
N708JB;;;
N708MQ;;;
N708SK;2004;CL-600-2C10;
N708SW;;;
N708UW;1999;A319-112;
N709BR;2003;CL-600-2B19;
N709EV;2002;CL-600-2C10;
N709JB;;;
N709MQ;;;
N709SK;2004;CL-600-2C10;
N709SW;1998;737-7H4;
N709TW;1997;757-2Q8;
N709UW;1999;A319-112;
N710BR;2003;CL-600-2B19;
N710CA;1998;CL-600-2B19;
N710EV;2002;CL-600-2C10;
N710MQ;;;
N710SK;2004;CL-600-2C10;
N710SW;1998;737-7H4;
N710TW;1997;757-2Q8;
N710UW;1999;A319-112;
N711HK;1998;737-7H4;
N711MQ;;;
N711UW;1999;A319-112;
N712CA;1998;CL-600-2B19;
N712JB;;;
N712MQ;;;
N712SK;2004;CL-600-2C10;
N712SW;1998;737-7H4;
N712US;1999;A319-112;
N713AS;1999;737-490;
N713CA;1998;CL-600-2B19;
N713MQ;;;
N713SK;2004;CL-600-2C10;
N713SW;1998;737-7H4;
N713TW;1997;757-2Q8;
N713UW;1999;A319-112;
N714CB;1998;737-7H4;
N714US;1999;A319-112;
N715JB;;;
N715MQ;;;
N715SF;1996;CL-600-2B19;
N715SK;2004;CL-600-2C10;
N715SW;1998;737-7H4;
N715UW;1999;A319-112;
N716CA;1998;CL-600-2B19;
N716EV;2003;CL-600-2C10;
N716MQ;;;
N716SK;2004;CL-600-2C10;
N716SW;1998;737-7H4;
N716UW;1999;A319-112;
N717EV;2003;CL-600-2C10;
N717JL;2002;717-200;
N717MQ;;;
N717SA;1998;737-7H4;
N717TW;1999;757-231;
N717UW;1999;A319-112;
N718EV;2003;CL-600-2C10;
N718MQ;;;
N718SK;2004;CL-600-2C10;
N718SW;1998;737-7H4;
N718TW;1999;757-231;
N719EV;2003;CL-600-2C10;
N719MQ;;;
N719SK;2004;CL-600-2C10;
N719SW;1998;737-7H4;
N720EV;2003;CL-600-2C10;
N720MQ;;;
N720SW;1999;CL-600-2B19;
N720WN;1998;737-7H4;
N721CA;1998;CL-600-2B19;
N721MQ;;;
N721TW;1999;757-231;
N721UW;1999;A319-112;
N722EV;2003;CL-600-2C10;
N722MQ;;;
N722TW;1999;757-231;
N722US;1999;A319-112;
N723EV;2004;CL-600-2C10;
N723MQ;;;
N723SW;1999;737-7H4;
N723TW;;;
N723UW;1999;A319-112;
N72405;2001;737-924;
N724EV;2004;CL-600-2C10;
N724MQ;;;
N724SK;2004;CL-600-2C10;
N724SW;1999;737-7H4;
N724UW;1999;A319-112;
N725MQ;;;
N725SW;1999;737-7H4;
N725UW;1999;A319-112;
N7264V;1998;CL-600-2B19;
N726SK;2005;CL-600-2C10;
N726SW;1999;737-7H4;
N727SW;1999;737-7H4;
N727TW;;;
N728MQ;;;
N728SK;2005;CL-600-2C10;
N728SW;1999;737-7H4;
N7291Z;1999;CL-600-2B19;
N729JB;;;
N729SW;1999;737-7H4;
N7305V;1999;CL-600-2B19;
N730EV;2004;CL-600-2C10;
N730SK;2005;CL-600-2C10;
N730SW;1999;737-7H4;
N730US;2000;A319-112;
N73152;2000;767-224;
N731SA;1999;737-7H4;
N73251;2000;737-824;
N73256;2000;737-824;
N73259;2001;737-824;
