numeroVuelo(flightNum);fecha(flightDate);horaSalida(crsDepTime);horaLlegada(crsArrTime);aeropuertoSalida(originiata);aeropuertoLlegada(destinata);compagnia(carrierCode);avion(tailNum);
14;26/10/2008;2120;525;OGG;LAX;AA;N374AA;
15;25/10/2008;1050;1405;JFK;SFO;AA;N320AA;
15;26/10/2008;1050;1405;JFK;SFO;AA;N321AA;
15;27/10/2008;1050;1405;JFK;SFO;AA;N332AA;
16;25/10/2008;1130;2010;SFO;JFK;AA;N339AA;
16;26/10/2008;1130;2010;SFO;JFK;AA;N336AA;
16;27/10/2008;1130;2010;SFO;JFK;AA;N323AA;
18;25/10/2008;2200;625;SFO;JFK;AA;N322AA;
18;26/10/2008;2200;625;SFO;JFK;AA;N325AA;
18;27/10/2008;2200;625;SFO;JFK;AA;N339AA;
19;26/10/2008;1100;1400;JFK;LAX;AA;N335AA;
19;27/10/2008;1100;1400;JFK;LAX;AA;N338AA;
20;25/10/2008;1520;2345;SFO;JFK;AA;N320AA;
20;26/10/2008;1520;2345;SFO;JFK;AA;N321AA;
20;27/10/2008;1520;2345;SFO;JFK;AA;N332AA;
21;25/10/2008;1910;2235;JFK;LAX;AA;N327AA;
21;26/10/2008;1910;2235;JFK;LAX;AA;N328AA;
21;27/10/2008;1910;2235;JFK;LAX;AA;N320AA;
22;26/10/2008;1515;2335;LAX;JFK;AA;N335AA;
22;27/10/2008;1515;2335;LAX;JFK;AA;N338AA;
24;26/10/2008;750;1620;SFO;JFK;AA;N376AA;
24;27/10/2008;750;1620;SFO;JFK;AA;N371AA;
25;25/10/2008;735;1055;BOS;LAX;AA;N5CKAA;
25;26/10/2008;735;1055;BOS;LAX;AA;N5CNAA;
25;27/10/2008;735;1055;BOS;LAX;AA;N5EKAA;
28;25/10/2008;1230;2030;HNL;SFO;AA;N5DFAA;
28;26/10/2008;1230;2030;HNL;SFO;AA;N5FDAA;
28;27/10/2008;1230;2030;HNL;SFO;AA;N5DJAA;
30;25/10/2008;2340;755;LAX;JFK;AA;N321AA;
30;26/10/2008;2340;755;LAX;JFK;AA;N328AA;
30;27/10/2008;2340;755;LAX;JFK;AA;N320AA;
31;25/10/2008;810;1050;LAX;HNL;AA;N5DFAA;
31;26/10/2008;810;1050;LAX;HNL;AA;N5FDAA;
31;27/10/2008;810;1050;LAX;HNL;AA;N5DJAA;
32;25/10/2008;1325;2155;LAX;JFK;AA;N329AA;
32;26/10/2008;1325;2155;LAX;JFK;AA;N323AA;
32;27/10/2008;1325;2155;LAX;JFK;AA;N321AA;
34;25/10/2008;815;1640;LAX;JFK;AA;N319AA;
34;26/10/2008;815;1640;LAX;JFK;AA;N327AA;
34;27/10/2008;815;1640;LAX;JFK;AA;N319AA;
39;25/10/2008;905;1125;SFO;HNL;AA;N5ECAA;
39;26/10/2008;905;1125;SFO;HNL;AA;N5DFAA;
39;27/10/2008;905;1125;SFO;HNL;AA;N5FDAA;
40;25/10/2008;1100;1932;LAX;JFK;AA;N325AA;
40;26/10/2008;1100;1932;LAX;JFK;AA;N339AA;
40;27/10/2008;1100;1932;LAX;JFK;AA;N335AA;
47;25/10/2008;1915;2135;ORD;DFW;AA;N7AHAA;
47;26/10/2008;1915;2135;ORD;DFW;AA;N7ARAA;
47;27/10/2008;1915;2135;ORD;DFW;AA;N7ABAA;
54;25/10/2008;935;1530;LAX;ORD;AA;N375AA;
59;25/10/2008;705;1020;JFK;SFO;AA;N339AA;
59;26/10/2008;705;1020;JFK;SFO;AA;N336AA;
59;27/10/2008;705;1020;JFK;SFO;AA;N323AA;
72;25/10/2008;1640;550;HNL;ORD;AA;N382AA;
73;25/10/2008;900;1255;ORD;HNL;AA;N360AA;
74;25/10/2008;2210;555;LAX;IAD;AA;N3DAAA;
74;26/10/2008;2210;555;LAX;IAD;AA;N3DLAA;
74;27/10/2008;2210;555;LAX;IAD;AA;N3AKAA;
75;25/10/2008;1815;2045;IAD;LAX;AA;N321AA;
75;26/10/2008;1815;2045;IAD;LAX;AA;N319AA;
75;27/10/2008;1815;2045;IAD;LAX;AA;N327AA;
76;25/10/2008;915;1700;LAX;IAD;AA;N321AA;
76;26/10/2008;915;1700;LAX;IAD;AA;N319AA;
76;27/10/2008;915;1700;LAX;IAD;AA;N327AA;
85;25/10/2008;1455;1805;JFK;SFO;AA;N379AA;
85;26/10/2008;1459;1809;JFK;SFO;AA;N380AA;
85;27/10/2008;1459;1809;JFK;SFO;AA;N385AA;
86;25/10/2008;1300;1510;DFW;ORD;AA;N7ALAA;
