numeroVuelo(flightNum);fecha(flightDate);horaSalida(crsDepTime);horaLlegada(crsArrTime);aeropuertoSalida(originiata);aeropuertoLlegada(destinata);compagnia(carrierCode);avion(tailNum);
748;27/10/2008;1045;1538;DEN;ATL;DL;N722TW;
749;25/10/2008;1335;1452;ATL;DEN;DL;N3751B;
749;26/10/2008;1335;1452;ATL;DEN;DL;N609DL;
749;27/10/2008;1335;1452;ATL;DEN;DL;N654DL;
750;25/10/2008;1311;1759;DEN;ATL;DL;N648DL;
750;25/10/2008;1855;2044;ATL;FLL;DL;N695DL;
750;26/10/2008;1311;1759;DEN;ATL;DL;N693DL;
750;26/10/2008;1855;2044;ATL;FLL;DL;N906DL;
750;27/10/2008;1311;1759;DEN;ATL;DL;N699DL;
750;27/10/2008;1855;2044;ATL;FLL;DL;N699DL;
751;25/10/2008;1649;1812;ATL;DEN;DL;N684DA;
751;26/10/2008;1649;1812;ATL;DEN;DL;N644DL;
751;27/10/2008;1649;1812;ATL;DEN;DL;N6708D;
752;25/10/2008;1600;1712;ATL;MCI;DL;N927DA;
752;26/10/2008;1600;1712;ATL;MCI;DL;N978DL;
752;27/10/2008;1600;1712;ATL;MCI;DL;N988DL;
753;26/10/2008;1835;1953;ATL;DEN;DL;N625DL;
754;25/10/2008;1545;2039;DEN;ATL;DL;N3751B;
754;26/10/2008;1545;2039;DEN;ATL;DL;N609DL;
754;26/10/2008;2230;2356;ATL;MCO;DL;N657DL;
754;27/10/2008;1545;2039;DEN;ATL;DL;N654DL;
754;27/10/2008;2230;2356;ATL;MCO;DL;N654DL;
755;25/10/2008;2005;2122;ATL;DEN;DL;N6707A;
755;26/10/2008;2005;2122;ATL;DEN;DL;N641DL;
755;27/10/2008;2005;2122;ATL;DEN;DL;N645DL;
756;25/10/2008;545;854;DFW;ATL;DL;N677DL;
756;25/10/2008;1000;1141;ATL;IND;DL;N954DL;
756;26/10/2008;545;854;DFW;ATL;DL;N664DN;
756;26/10/2008;1000;1141;ATL;IND;DL;N934DL;
756;27/10/2008;545;854;DFW;ATL;DL;N672DL;
756;27/10/2008;1000;1141;ATL;IND;DL;N906DE;
758;25/10/2008;700;1009;DFW;ATL;DL;N666DN;
758;25/10/2008;1100;1215;ATL;JAX;DL;N627DL;
758;26/10/2008;1100;1215;ATL;JAX;DL;N646DL;
758;27/10/2008;700;1009;DFW;ATL;DL;N642DL;
758;27/10/2008;1121;1236;ATL;JAX;DL;N646DL;
759;27/10/2008;730;843;ATL;DFW;DL;N378DA;
760;25/10/2008;930;1231;DFW;ATL;DL;N618DL;
760;26/10/2008;925;1226;DFW;ATL;DL;N3768;
760;27/10/2008;925;1226;DFW;ATL;DL;N378DA;
761;25/10/2008;1221;1355;IND;ATL;DL;N954DL;
761;26/10/2008;1221;1355;IND;ATL;DL;N934DL;
761;27/10/2008;1221;1355;IND;ATL;DL;N906DE;
762;25/10/2008;1055;1400;DFW;ATL;DL;N647DL;
762;25/10/2008;1500;1716;ATL;PHL;DL;N394DA;
762;26/10/2008;1055;1400;DFW;ATL;DL;N688DL;
762;26/10/2008;1500;1716;ATL;PHL;DL;N903DA;
762;27/10/2008;1055;1400;DFW;ATL;DL;N626DL;
762;27/10/2008;1500;1716;ATL;PHL;DL;N903DA;
763;25/10/2008;700;851;RIC;ATL;DL;N660DL;
763;25/10/2008;950;1119;ATL;DFW;DL;N625DL;
763;26/10/2008;700;851;RIC;ATL;DL;N663DN;
763;26/10/2008;950;1119;ATL;DFW;DL;N663DN;
763;27/10/2008;700;851;RIC;ATL;DL;N621DL;
763;27/10/2008;950;1119;ATL;DFW;DL;N621DL;
764;25/10/2008;2120;2310;ATL;BWI;DL;N949DL;
764;26/10/2008;2120;2310;ATL;BWI;DL;N679DA;
764;27/10/2008;2120;2310;ATL;BWI;DL;N920DE;
765;25/10/2008;1105;1233;ATL;DFW;DL;N674DL;
765;26/10/2008;1105;1233;ATL;DFW;DL;N677DL;
765;27/10/2008;1105;1233;ATL;DFW;DL;N6712B;
766;25/10/2008;1730;1934;ATL;BUF;DL;N987DL;
768;25/10/2008;1324;1630;DFW;ATL;DL;N674DL;
769;25/10/2008;955;1143;IAD;ATL;DL;N960DL;
769;25/10/2008;1230;1347;ATL;DFW;DL;N912DN;
769;26/10/2008;955;1143;IAD;ATL;DL;N981DL;
769;26/10/2008;1230;1347;ATL;DFW;DL;N981DL;
769;27/10/2008;955;1143;IAD;ATL;DL;N982DL;
769;27/10/2008;1230;1347;ATL;DFW;DL;N982DL;
770;25/10/2008;1430;1736;DFW;ATL;DL;N912DN;
770;26/10/2008;1430;1736;DFW;ATL;DL;N981DL;
770;26/10/2008;1835;2041;ATL;BUF;DL;N981DL;
770;27/10/2008;1430;1736;DFW;ATL;DL;N982DL;
770;27/10/2008;1835;2041;ATL;BUF;DL;N982DL;
771;25/10/2008;1355;1514;ATL;DFW;DL;N640DL;
771;26/10/2008;1110;1303;FLL;ATL;DL;N674DL;
771;26/10/2008;1355;1514;ATL;DFW;DL;N623DL;
771;27/10/2008;1110;1303;FLL;ATL;DL;N6707A;
771;27/10/2008;1355;1514;ATL;DFW;DL;N6707A;
772;25/10/2008;1625;1935;DFW;ATL;DL;N640DL;
772;26/10/2008;1605;1914;DFW;ATL;DL;N623DL;
772;27/10/2008;1605;1914;DFW;ATL;DL;N6707A;
773;25/10/2008;1305;1422;JAX;ATL;DL;N627DL;
773;26/10/2008;1515;1637;ATL;DFW;DL;N3730B;
773;27/10/2008;1515;1637;ATL;DFW;DL;N623DL;
774;26/10/2008;1730;2037;DFW;ATL;DL;N3730B;
774;26/10/2008;2130;2316;ATL;PBI;DL;N622DL;
774;27/10/2008;1730;2037;DFW;ATL;DL;N623DL;
774;27/10/2008;2130;2316;ATL;PBI;DL;N642DL;
776;26/10/2008;1845;2146;DFW;ATL;DL;N757AT;
776;27/10/2008;1845;2146;DFW;ATL;DL;N681DA;
778;26/10/2008;1640;1747;TLH;ATL;DL;N934DL;
778;27/10/2008;700;800;ATL;ORD;DL;N957DL;
779;25/10/2008;1930;2053;ATL;DFW;DL;N3768;
779;26/10/2008;1930;2053;ATL;DFW;DL;N642DL;
779;27/10/2008;1930;2053;ATL;DFW;DL;N609DL;
780;25/10/2008;805;910;ATL;ORD;DL;N942DL;
780;26/10/2008;805;910;ATL;ORD;DL;N979DL;
780;27/10/2008;555;655;GSP;ATL;DL;N923DL;
780;27/10/2008;805;910;ATL;ORD;DL;N923DL;
781;25/10/2008;2115;2230;ATL;DFW;DL;N664DN;
781;26/10/2008;2115;2230;ATL;DFW;DL;N672DL;
781;27/10/2008;2115;2230;ATL;DFW;DL;N629DL;
782;25/10/2008;705;838;DAB;ATL;DL;N948DL;
782;25/10/2008;950;1100;ATL;ORD;DL;N950DL;
782;26/10/2008;705;838;DAB;ATL;DL;N932DL;
782;26/10/2008;950;1100;ATL;ORD;DL;N932DL;
782;27/10/2008;705;838;DAB;ATL;DL;N952DL;
782;27/10/2008;950;1100;ATL;ORD;DL;N952DL;
783;25/10/2008;545;849;ORD;ATL;DL;N901DA;
783;26/10/2008;545;849;ORD;ATL;DL;N910DN;
783;27/10/2008;545;849;ORD;ATL;DL;N909DA;
784;25/10/2008;1145;1245;ATL;ORD;DL;N903DA;
784;26/10/2008;1145;1245;ATL;ORD;DL;N925DL;
784;27/10/2008;1145;1245;ATL;ORD;DL;N919DL;
785;25/10/2008;1110;1242;ATL;SRQ;DL;N943DL;
785;26/10/2008;1110;1242;ATL;SRQ;DL;N905DA;
785;27/10/2008;705;1005;ORD;ATL;DL;N913DL;
785;27/10/2008;1110;1242;ATL;SRQ;DL;N915DL;
786;25/10/2008;1100;1307;PNS;ATL;DL;N936DL;
786;26/10/2008;1100;1307;PNS;ATL;DL;N957DL;
786;26/10/2008;1355;1459;ATL;ORD;DL;N957DL;
786;27/10/2008;1100;1307;PNS;ATL;DL;N930DL;
786;27/10/2008;1355;1459;ATL;ORD;DL;N930DL;
787;25/10/2008;840;1138;ORD;ATL;DL;N912DN;
787;26/10/2008;840;1138;ORD;ATL;DL;N906DL;
787;27/10/2008;840;1138;ORD;ATL;DL;N957DL;
788;25/10/2008;1530;1633;ATL;ORD;DL;N905DA;
788;26/10/2008;1530;1633;ATL;ORD;DL;N900DE;
789;25/10/2008;950;1247;ORD;ATL;DL;N942DL;
789;25/10/2008;1332;1432;ATL;SAV;DL;N942DL;
789;26/10/2008;950;1247;ORD;ATL;DL;N979DL;
789;26/10/2008;1332;1432;ATL;SAV;DL;N979DL;
789;27/10/2008;950;1247;ORD;ATL;DL;N923DL;
789;27/10/2008;1332;1432;ATL;SAV;DL;N3741S;
790;26/10/2008;1649;1759;ATL;ORD;DL;N903DE;
790;27/10/2008;1649;1759;ATL;ORD;DL;N992DL;
791;25/10/2008;1140;1439;ORD;ATL;DL;N950DL;
791;25/10/2008;1556;1740;ATL;PBI;DL;N660DL;
791;26/10/2008;1140;1439;ORD;ATL;DL;N932DL;
791;26/10/2008;1556;1740;ATL;PBI;DL;N932DL;
791;27/10/2008;1140;1439;ORD;ATL;DL;N952DL;
791;27/10/2008;1556;1740;ATL;PBI;DL;N635DL;
792;25/10/2008;1855;2003;ATL;ORD;DL;N906DL;
792;26/10/2008;1547;1757;MOB;ATL;DL;N975DL;
792;26/10/2008;1855;2003;ATL;ORD;DL;N913DL;
792;27/10/2008;1547;1757;MOB;ATL;DL;N998DL;
792;27/10/2008;1855;2003;ATL;ORD;DL;N998DL;
793;25/10/2008;1325;1624;ORD;ATL;DL;N903DA;
793;26/10/2008;1325;1624;ORD;ATL;DL;N925DL;
793;27/10/2008;1325;1624;ORD;ATL;DL;N919DL;
794;25/10/2008;2145;2248;ATL;ORD;DL;N901DA;
794;26/10/2008;2145;2248;ATL;ORD;DL;N905DA;
794;27/10/2008;2145;2248;ATL;ORD;DL;N903DA;
795;26/10/2008;1545;1841;ORD;ATL;DL;N957DL;
795;27/10/2008;1545;1841;ORD;ATL;DL;N930DL;
796;25/10/2008;725;959;STL;ATL;DL;N3733Z;
796;26/10/2008;725;959;STL;ATL;DL;N958DL;
796;27/10/2008;725;959;STL;ATL;DL;N917DL;
797;25/10/2008;1715;2015;ORD;ATL;DL;N905DA;
797;26/10/2008;2122;2226;ATL;TLH;DL;N993DL;
797;27/10/2008;2122;2226;ATL;TLH;DL;N964DL;
798;25/10/2008;745;1117;MSP;ATL;DL;N976DL;
798;26/10/2008;745;1117;MSP;ATL;DL;N945DL;
798;27/10/2008;745;1115;MSP;ATL;DL;N991DL;
799;26/10/2008;1840;2139;ORD;ATL;DL;N903DE;
799;26/10/2008;2230;2327;ATL;SAV;DL;N903DE;
799;27/10/2008;1840;2139;ORD;ATL;DL;N992DL;
799;27/10/2008;2230;2327;ATL;SAV;DL;N992DL;
801;25/10/2008;841;1005;ATL;DFW;DL;N647DL;
801;26/10/2008;600;750;DCA;ATL;DL;N3754A;
801;26/10/2008;841;1005;ATL;DFW;DL;N688DL;
801;27/10/2008;600;750;DCA;ATL;DL;N903DA;
801;27/10/2008;841;1005;ATL;DFW;DL;N626DL;
802;25/10/2008;730;910;ATL;DCA;DL;N975DL;
802;26/10/2008;730;910;ATL;DCA;DL;N954DL;
802;27/10/2008;730;910;ATL;DCA;DL;N609DL;
803;25/10/2008;700;900;DCA;ATL;DL;N900DE;
803;26/10/2008;700;900;DCA;ATL;DL;N934DL;
803;27/10/2008;700;900;DCA;ATL;DL;N994DL;
804;25/10/2008;830;1012;ATL;DCA;DL;N945DL;
804;26/10/2008;830;1012;ATL;DCA;DL;N916DL;
804;27/10/2008;600;732;SRQ;ATL;DL;N995DL;
804;27/10/2008;830;1012;ATL;DCA;DL;N954DL;
805;25/10/2008;759;953;DCA;ATL;DL;N903DA;
805;26/10/2008;759;953;DCA;ATL;DL;N905DA;
805;26/10/2008;1056;1222;ATL;ELP;DL;N912DN;
805;27/10/2008;759;953;DCA;ATL;DL;N912DN;
805;27/10/2008;1056;1222;ATL;ELP;DL;N912DN;
806;25/10/2008;600;829;LIT;ATL;DL;N920DL;
806;25/10/2008;930;1115;ATL;DCA;DL;N904DL;
806;26/10/2008;600;829;LIT;ATL;DL;N964DL;
806;26/10/2008;930;1115;ATL;DCA;DL;N964DL;
806;27/10/2008;600;829;LIT;ATL;DL;N942DL;
806;27/10/2008;930;1115;ATL;DCA;DL;N942DL;
807;25/10/2008;1054;1218;RDU;ATL;DL;N621DL;
807;26/10/2008;1054;1218;RDU;ATL;DL;N692DL;
807;27/10/2008;1054;1218;RDU;ATL;DL;N679DA;
808;25/10/2008;705;852;RSW;ATL;DL;N757AT;
808;25/10/2008;1020;1208;ATL;DCA;DL;N927DA;
808;26/10/2008;705;852;RSW;ATL;DL;N686DA;
808;26/10/2008;1020;1208;ATL;DCA;DL;N633DL;
808;27/10/2008;705;852;RSW;ATL;DL;N635DL;
808;27/10/2008;1020;1208;ATL;DCA;DL;N635DL;
809;25/10/2008;955;1146;DCA;ATL;DL;N975DL;
809;26/10/2008;955;1146;DCA;ATL;DL;N954DL;
809;27/10/2008;1000;1150;DCA;ATL;DL;N609DL;
810;25/10/2008;725;1028;IAH;ATL;DL;N989DL;
810;25/10/2008;1120;1306;ATL;DCA;DL;N928DL;
810;26/10/2008;1120;1306;ATL;DCA;DL;N941DL;
810;27/10/2008;725;1028;IAH;ATL;DL;N944DL;
810;27/10/2008;1120;1306;ATL;DCA;DL;N944DL;
811;25/10/2008;1100;1250;DCA;ATL;DL;N945DL;
811;25/10/2008;1335;1512;ATL;RSW;DL;N686DA;
811;26/10/2008;1100;1250;DCA;ATL;DL;N916DL;
811;26/10/2008;1335;1512;ATL;RSW;DL;N986DL;
811;27/10/2008;1100;1250;DCA;ATL;DL;N954DL;
811;27/10/2008;1335;1512;ATL;RSW;DL;N993DL;
812;25/10/2008;620;1119;ABQ;ATL;DL;N953DL;
812;25/10/2008;1220;1359;ATL;DCA;DL;N977DL;
812;26/10/2008;1220;1359;ATL;DCA;DL;N3735D;
812;27/10/2008;620;1119;ABQ;ATL;DL;N919DL;
812;27/10/2008;1220;1359;ATL;DCA;DL;N991DL;
813;25/10/2008;1200;1350;DCA;ATL;DL;N904DL;
813;25/10/2008;1440;1435;ATL;HSV;DL;N982DL;
813;26/10/2008;1200;1350;DCA;ATL;DL;N964DL;
813;27/10/2008;1200;1350;DCA;ATL;DL;N942DL;
813;27/10/2008;1440;1435;ATL;HSV;DL;N942DL;
814;25/10/2008;938;1235;MCI;ATL;DL;N949DL;
814;26/10/2008;938;1235;MCI;ATL;DL;N976DL;
814;26/10/2008;1320;1459;ATL;DCA;DL;N976DL;
814;27/10/2008;938;1235;MCI;ATL;DL;N903DE;
814;27/10/2008;1320;1459;ATL;DCA;DL;N903DE;
815;25/10/2008;1300;1452;DCA;ATL;DL;N927DA;
815;26/10/2008;1300;1452;DCA;ATL;DL;N633DL;
815;27/10/2008;1300;1452;DCA;ATL;DL;N635DL;
816;25/10/2008;1420;1559;ATL;DCA;DL;N995DL;
816;26/10/2008;1420;1559;ATL;DCA;DL;N615DL;
816;27/10/2008;1420;1559;ATL;DCA;DL;N603DL;
817;25/10/2008;1400;1557;DCA;ATL;DL;N928DL;
817;26/10/2008;1400;1557;DCA;ATL;DL;N941DL;
817;26/10/2008;1643;1811;ATL;ABQ;DL;N941DL;
817;27/10/2008;1400;1557;DCA;ATL;DL;N944DL;
817;27/10/2008;1643;1811;ATL;ABQ;DL;N997DL;
818;26/10/2008;1052;1415;SAT;ATL;DL;N909DL;
818;26/10/2008;1520;1707;ATL;DCA;DL;N909DL;
818;27/10/2008;1052;1415;SAT;ATL;DL;N914DL;
818;27/10/2008;1520;1707;ATL;DCA;DL;N398DA;
819;25/10/2008;1500;1651;DCA;ATL;DL;N977DL;
819;26/10/2008;1500;1651;DCA;ATL;DL;N3735D;
819;27/10/2008;1500;1651;DCA;ATL;DL;N991DL;
820;25/10/2008;1620;1807;ATL;DCA;DL;N901DA;
820;26/10/2008;1620;1807;ATL;DCA;DL;N617DL;
820;27/10/2008;1620;1807;ATL;DCA;DL;N669DN;
821;26/10/2008;1600;1754;DCA;ATL;DL;N976DL;
821;26/10/2008;1901;2031;ATL;MLB;DL;N976DL;
821;27/10/2008;1600;1754;DCA;ATL;DL;N903DE;
821;27/10/2008;1901;2031;ATL;MLB;DL;N903DE;
822;25/10/2008;1720;1906;ATL;DCA;DL;N934DL;
822;26/10/2008;1315;1625;AUS;ATL;DL;N917DE;
822;26/10/2008;1720;1906;ATL;DCA;DL;N917DE;
822;27/10/2008;1315;1625;AUS;ATL;DL;N917DL;
822;27/10/2008;1720;1906;ATL;DCA;DL;N917DL;
823;25/10/2008;1700;1853;DCA;ATL;DL;N995DL;
823;26/10/2008;1700;1853;DCA;ATL;DL;N615DL;
823;27/10/2008;1700;1853;DCA;ATL;DL;N603DL;
825;26/10/2008;1759;1955;DCA;ATL;DL;N909DL;
825;27/10/2008;1759;1955;DCA;ATL;DL;N398DA;
826;25/10/2008;1920;2107;ATL;DCA;DL;N3754A;
826;26/10/2008;1303;1800;ELP;ATL;DL;N912DN;
826;26/10/2008;1920;2107;ATL;DCA;DL;N912DN;
826;27/10/2008;1303;1800;ELP;ATL;DL;N912DN;
826;27/10/2008;1920;2107;ATL;DCA;DL;N912DN;
827;25/10/2008;1859;2053;DCA;ATL;DL;N901DA;
827;26/10/2008;1859;2053;DCA;ATL;DL;N617DL;
827;27/10/2008;1859;2053;DCA;ATL;DL;N669DN;
828;26/10/2008;1240;1913;TUS;ATL;DL;N398DA;
828;26/10/2008;2020;2209;ATL;DCA;DL;N994DL;
828;27/10/2008;1240;1913;TUS;ATL;DL;N3732J;
828;27/10/2008;2020;2209;ATL;DCA;DL;N925DL;
829;26/10/2008;2000;2154;DCA;ATL;DL;N917DE;
829;27/10/2008;2000;2154;DCA;ATL;DL;N917DL;
830;25/10/2008;2120;2304;ATL;DCA;DL;N905DA;
830;26/10/2008;2120;2304;ATL;DCA;DL;N903DA;
830;27/10/2008;2120;2304;ATL;DCA;DL;N978DL;
832;27/10/2008;730;934;ATL;EWR;DL;N674DL;
833;25/10/2008;625;856;EWR;ATL;DL;N608DA;
833;26/10/2008;625;856;EWR;ATL;DL;N6705Y;
833;27/10/2008;600;819;EWR;ATL;DL;N698DL;
834;25/10/2008;830;1041;ATL;EWR;DL;N3732J;
834;26/10/2008;825;1036;ATL;EWR;DL;N641DL;
834;27/10/2008;825;1036;ATL;EWR;DL;N645DL;
836;25/10/2008;640;900;JAN;ATL;DL;N918DL;
836;25/10/2008;955;1212;ATL;EWR;DL;N918DL;
836;26/10/2008;640;900;JAN;ATL;DL;N904DE;
836;26/10/2008;955;1212;ATL;EWR;DL;N904DE;
836;27/10/2008;640;900;JAN;ATL;DL;N969DL;
836;27/10/2008;955;1212;ATL;EWR;DL;N969DL;
837;25/10/2008;825;1100;EWR;ATL;DL;N664DN;
837;26/10/2008;825;1100;EWR;ATL;DL;N137DL;
837;27/10/2008;825;1100;EWR;ATL;DL;N678DL;
839;25/10/2008;1126;1345;EWR;ATL;DL;N3732J;
839;26/10/2008;1126;1345;EWR;ATL;DL;N641DL;
839;27/10/2008;1126;1345;EWR;ATL;DL;N645DL;
840;25/10/2008;1205;1430;ATL;EWR;DL;N664DN;
840;26/10/2008;1205;1430;ATL;EWR;DL;N137DL;
840;27/10/2008;1205;1430;ATL;EWR;DL;N625DL;
841;25/10/2008;1300;1520;EWR;ATL;DL;N918DL;
841;25/10/2008;1630;1758;ATL;SAT;DL;N918DL;
841;26/10/2008;1300;1520;EWR;ATL;DL;N904DE;
841;26/10/2008;1606;1734;ATL;SAT;DL;N3769L;
841;27/10/2008;1300;1520;EWR;ATL;DL;N969DL;
841;27/10/2008;1606;1734;ATL;SAT;DL;N955DL;
842;26/10/2008;1340;1604;ATL;EWR;DL;N684DA;
842;27/10/2008;1340;1604;ATL;EWR;DL;N644DL;
844;26/10/2008;1324;1630;DFW;ATL;DL;N677DL;
844;26/10/2008;1725;1950;ATL;EWR;DL;N677DL;
844;27/10/2008;1324;1630;DFW;ATL;DL;N6712B;
844;27/10/2008;1725;1950;ATL;EWR;DL;N6712B;
845;25/10/2008;1520;1746;EWR;ATL;DL;N664DN;
845;25/10/2008;1845;2024;ATL;RSW;DL;N686DA;
845;26/10/2008;1520;1746;EWR;ATL;DL;N931DL;
845;26/10/2008;1845;2024;ATL;RSW;DL;N635DL;
845;27/10/2008;1520;1746;EWR;ATL;DL;N625DL;
845;27/10/2008;1845;2024;ATL;RSW;DL;N664DN;
846;25/10/2008;1845;2102;ATL;EWR;DL;N6705Y;
846;26/10/2008;1845;2102;ATL;EWR;DL;N678DL;
846;27/10/2008;1845;2102;ATL;EWR;DL;N673DL;
848;25/10/2008;1854;2034;ATL;PBI;DL;N636DL;
848;26/10/2008;1854;2034;ATL;PBI;DL;N687DL;
848;27/10/2008;1854;2034;ATL;PBI;DL;N668DN;
849;25/10/2008;1805;2040;EWR;ATL;DL;N978DL;
849;26/10/2008;1805;2040;EWR;ATL;DL;N688DL;
849;27/10/2008;1805;2040;EWR;ATL;DL;N653DL;
852;25/10/2008;600;751;FLL;ATL;DL;N641DL;
852;26/10/2008;600;751;FLL;ATL;DL;N750AT;
852;27/10/2008;600;751;FLL;ATL;DL;N683DA;
853;27/10/2008;730;914;ATL;FLL;DL;N757AT;
854;27/10/2008;655;900;FLL;ATL;DL;N639DL;
855;25/10/2008;830;1018;ATL;FLL;DL;N669DN;
855;26/10/2008;830;1018;ATL;FLL;DL;N674DL;
855;27/10/2008;830;1018;ATL;FLL;DL;N6707A;
857;25/10/2008;700;900;PIT;ATL;DL;N685DA;
857;25/10/2008;950;1147;ATL;FLL;DL;N757AT;
857;26/10/2008;700;900;PIT;ATL;DL;N6708D;
857;26/10/2008;950;1147;ATL;FLL;DL;N666DN;
857;27/10/2008;700;900;PIT;ATL;DL;N670DN;
857;27/10/2008;950;1147;ATL;FLL;DL;N651DL;
859;25/10/2008;1120;1315;ATL;FLL;DL;N6706Q;
859;26/10/2008;1110;1305;ATL;FLL;DL;N665DN;
859;27/10/2008;1110;1305;ATL;FLL;DL;N664DN;
860;25/10/2008;1005;1156;FLL;ATL;DL;N629DL;
860;26/10/2008;1005;1156;FLL;ATL;DL;N669DN;
860;27/10/2008;1005;1156;FLL;ATL;DL;N757AT;
861;25/10/2008;1325;1511;ATL;FLL;DL;N621DL;
861;26/10/2008;1330;1516;ATL;FLL;DL;N138DL;
861;27/10/2008;1325;1511;ATL;FLL;DL;N679DA;
862;25/10/2008;1110;1303;FLL;ATL;DL;N669DN;
863;25/10/2008;1445;1631;ATL;FLL;DL;N669DN;
863;26/10/2008;1445;1631;ATL;FLL;DL;N643DL;
863;27/10/2008;1445;1631;ATL;FLL;DL;N689DL;
864;25/10/2008;1240;1437;FLL;ATL;DL;N757AT;
864;26/10/2008;1240;1437;FLL;ATL;DL;N666DN;
864;27/10/2008;1240;1437;FLL;ATL;DL;N651DL;
866;26/10/2008;1625;1744;ATL;RDU;DL;N630DL;
866;27/10/2008;1625;1744;ATL;RDU;DL;N619DL;
867;26/10/2008;1640;1808;ATL;TPA;DL;N621DL;
867;27/10/2008;1640;1808;ATL;TPA;DL;N661DN;
868;25/10/2008;2140;2312;ATL;DAY;DL;N992DL;
868;26/10/2008;2140;2312;ATL;DAY;DL;N909DL;
868;27/10/2008;2140;2312;ATL;DAY;DL;N987DL;
869;26/10/2008;1745;1937;ATL;FLL;DL;N686DA;
869;27/10/2008;1745;1937;ATL;FLL;DL;N631DL;
870;25/10/2008;1715;1905;PBI;ATL;DL;N903DE;
870;26/10/2008;1715;1905;PBI;ATL;DL;N995DL;
870;27/10/2008;1715;1905;PBI;ATL;DL;N994DL;
872;25/10/2008;1722;1920;FLL;ATL;DL;N129DL;
872;26/10/2008;1722;1920;FLL;ATL;DL;N643DL;
872;27/10/2008;1722;1920;FLL;ATL;DL;N689DL;
873;25/10/2008;2030;2221;ATL;FLL;DL;N962DL;
874;25/10/2008;2129;2256;ATL;RDU;DL;N386DA;
874;26/10/2008;1840;2039;FLL;ATL;DL;N646DL;
874;26/10/2008;2129;2256;ATL;RDU;DL;N636DL;
874;27/10/2008;1840;2039;FLL;ATL;DL;N900PC;
874;27/10/2008;2129;2256;ATL;RDU;DL;N900PC;
875;26/10/2008;1815;2138;SAT;ATL;DL;N3769L;
875;26/10/2008;2230;10;ATL;FLL;DL;N683DA;
875;27/10/2008;1815;2138;SAT;ATL;DL;N955DL;
875;27/10/2008;2230;10;ATL;FLL;DL;N955DL;
876;25/10/2008;930;1155;ATL;BDL;DL;N984DL;
876;26/10/2008;930;1155;ATL;BDL;DL;N978DL;
876;27/10/2008;930;1155;ATL;BDL;DL;N955DL;
877;27/10/2008;745;906;ATL;TPA;DL;N608DA;
878;27/10/2008;950;1117;ATL;RDU;DL;N633DL;
879;25/10/2008;850;1016;ATL;TPA;DL;N641DL;
879;26/10/2008;830;956;ATL;TPA;DL;N138DL;
879;27/10/2008;850;1016;ATL;TPA;DL;N668DN;
880;25/10/2008;810;948;TPA;ATL;DL;N630DL;
880;27/10/2008;810;948;TPA;ATL;DL;N664DN;
881;25/10/2008;1000;1135;ATL;TPA;DL;N678DL;
881;26/10/2008;1000;1135;ATL;TPA;DL;N628DL;
881;27/10/2008;1000;1135;ATL;TPA;DL;N124DE;
882;25/10/2008;956;1125;TPA;ATL;DL;N645DL;
882;26/10/2008;956;1125;TPA;ATL;DL;N681DA;
882;27/10/2008;956;1125;TPA;ATL;DL;N608DA;
884;25/10/2008;1110;1242;TPA;ATL;DL;N641DL;
884;26/10/2008;1056;1228;TPA;ATL;DL;N138DL;
884;27/10/2008;1110;1242;TPA;ATL;DL;N668DN;
885;25/10/2008;1246;1409;ATL;TPA;DL;N629DL;
885;26/10/2008;1250;1413;ATL;TPA;DL;N669DN;
885;27/10/2008;1255;1418;ATL;TPA;DL;N667DN;
886;25/10/2008;1235;1410;TPA;ATL;DL;N678DL;
886;26/10/2008;1235;1410;TPA;ATL;DL;N628DL;
886;27/10/2008;1235;1410;TPA;ATL;DL;N124DE;
889;25/10/2008;1515;1644;ATL;TPA;DL;N608DA;
889;26/10/2008;1515;1644;ATL;TPA;DL;N668DN;
890;25/10/2008;1510;1645;TPA;ATL;DL;N629DL;
891;25/10/2008;2130;2209;ATL;MSY;DL;N693DL;
891;26/10/2008;2130;2209;ATL;MSY;DL;N688DL;
891;27/10/2008;2130;2209;ATL;MSY;DL;N632DL;
892;25/10/2008;615;855;PHX;SLC;DL;N904DA;
892;26/10/2008;1002;1543;SLC;CLE;DL;N914DN;
892;27/10/2008;615;855;PHX;SLC;DL;N902DA;
892;27/10/2008;1002;1543;SLC;CLE;DL;N902DA;
893;25/10/2008;1730;1858;ATL;TPA;DL;N633DL;
893;26/10/2008;1855;2023;ATL;TPA;DL;N664DN;
893;27/10/2008;1855;2023;ATL;TPA;DL;N634DL;
894;25/10/2008;1735;1913;TPA;ATL;DL;N608DA;
894;26/10/2008;1735;1913;TPA;ATL;DL;N668DN;
894;27/10/2008;1735;1913;TPA;ATL;DL;N694DL;
895;25/10/2008;2040;2211;ATL;TPA;DL;N681DA;
895;26/10/2008;2040;2211;ATL;TPA;DL;N633DL;
895;27/10/2008;2040;2211;ATL;TPA;DL;N658DL;
896;26/10/2008;1900;2036;TPA;ATL;DL;N621DL;
896;27/10/2008;1900;2036;TPA;ATL;DL;N3767;
897;25/10/2008;2155;2322;ATL;TPA;DL;N694DL;
897;26/10/2008;1327;2040;SNA;ATL;DL;N301DQ;
897;26/10/2008;2230;2351;ATL;TPA;DL;N6707A;
897;27/10/2008;1327;2040;SNA;ATL;DL;N301DQ;
897;27/10/2008;2230;2351;ATL;TPA;DL;N6713Y;
