flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;idIncidencia
473;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;0;desvio;0;216
473;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;24;desvio;0;217
481;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;desvio;0;218
485;0;;0;;;compania;0;tiempo;0;NAS;100;seguridad;0;previo;0;desvio;0;219
486;0;;0;;;compania;0;tiempo;0;NAS;51;seguridad;0;previo;0;desvio;0;220
487;0;;0;;;compania;0;tiempo;12;NAS;0;seguridad;0;previo;0;desvio;0;221
487;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;63;desvio;0;222
493;0;;0;;;compania;20;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;223
493;0;;0;;;compania;0;tiempo;0;NAS;50;seguridad;0;previo;0;desvio;0;224
501;0;;0;;;compania;0;tiempo;0;NAS;19;seguridad;0;previo;0;desvio;0;225
511;0;;0;;;compania;0;tiempo;0;NAS;70;seguridad;0;previo;0;desvio;0;226
512;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;0;desvio;0;227
512;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;6;desvio;0;228
515;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;18;desvio;0;229
524;0;;0;;;compania;0;tiempo;4;NAS;0;seguridad;0;previo;0;desvio;0;230
524;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;42;desvio;0;231
532;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;0;desvio;0;232
543;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;0;233
555;0;;0;;;compania;17;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;234
555;0;;0;;;compania;0;tiempo;0;NAS;14;seguridad;0;previo;0;desvio;0;235
555;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;98;desvio;0;236
558;0;;0;;;compania;94;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;237
558;0;;0;;;compania;0;tiempo;0;NAS;29;seguridad;0;previo;0;desvio;0;238
560;0;;0;;;compania;20;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;239
560;0;;0;;;compania;0;tiempo;0;NAS;6;seguridad;0;previo;0;desvio;0;240
565;0;;0;;;compania;34;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;241
565;0;;0;;;compania;0;tiempo;0;NAS;6;seguridad;0;previo;0;desvio;0;242
568;0;;0;;;compania;8;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;243
568;0;;0;;;compania;0;tiempo;0;NAS;4;seguridad;0;previo;0;desvio;0;244
568;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;36;desvio;0;245
580;0;;0;;;compania;61;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;246
