flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;
623;0;;0;;;compania;4;tiempo;0;NAS;1;seguridad;0;previo;19;desvio;;
626;0;;0;;;compania;40;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
627;0;;0;;;compania;31;tiempo;0;NAS;4;seguridad;0;previo;0;desvio;;
635;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;0;desvio;;
644;0;;0;;;compania;78;tiempo;0;NAS;0;seguridad;0;previo;9;desvio;;
658;0;;0;;;compania;0;tiempo;0;NAS;19;seguridad;0;previo;0;desvio;;
661;0;;0;;;compania;39;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
662;0;;0;;;compania;12;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;;
668;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;32;desvio;;
671;0;;0;;;compania;6;tiempo;0;NAS;10;seguridad;0;previo;0;desvio;;
672;0;;0;;;compania;37;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
673;0;;0;;;compania;19;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
674;1;Carrier;0;ORD;;compania;;tiempo;;NAS;;seguridad;;previo;;desvio;;
675;0;;0;;;compania;0;tiempo;0;NAS;3;seguridad;0;previo;15;desvio;;
685;0;;0;;;compania;6;tiempo;0;NAS;9;seguridad;0;previo;0;desvio;;
689;0;;0;;;compania;238;tiempo;0;NAS;5;seguridad;0;previo;0;desvio;;
692;0;;0;;;compania;0;tiempo;12;NAS;5;seguridad;0;previo;0;desvio;;
703;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;;
704;0;;0;;;compania;0;tiempo;0;NAS;78;seguridad;0;previo;0;desvio;;
707;0;;0;;;compania;39;tiempo;0;NAS;0;seguridad;0;previo;5;desvio;;
708;0;;0;;;compania;18;tiempo;0;NAS;24;seguridad;0;previo;12;desvio;;
709;1;Carrier;0;;;compania;;tiempo;;NAS;;seguridad;;previo;;desvio;;
715;0;;0;;;compania;25;tiempo;0;NAS;1;seguridad;0;previo;0;desvio;;
719;0;;0;;;compania;9;tiempo;0;NAS;14;seguridad;0;previo;0;desvio;;
723;0;;0;;;compania;31;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
727;0;;0;;;compania;0;tiempo;7;NAS;2;seguridad;0;previo;35;desvio;;
728;0;;0;;;compania;54;tiempo;0;NAS;2;seguridad;0;previo;24;desvio;;
732;0;;0;;;compania;17;tiempo;0;NAS;10;seguridad;0;previo;3;desvio;;
