idVuelo;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;
262;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;
265;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;
266;0;;0;;;compania;0;tiempo;0;NAS;31;seguridad;0;previo;0;
281;0;;0;;;compania;45;tiempo;0;NAS;0;seguridad;0;previo;0;
282;0;;0;;;compania;0;tiempo;0;NAS;60;seguridad;0;previo;0;
283;0;;0;;;compania;0;tiempo;0;NAS;38;seguridad;0;previo;0;
285;0;;0;;;compania;90;tiempo;0;NAS;0;seguridad;0;previo;0;
285;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;0;
288;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;78;
293;0;;0;;;compania;27;tiempo;0;NAS;0;seguridad;0;previo;0;
301;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;
302;0;;0;;;compania;0;tiempo;0;NAS;20;seguridad;0;previo;0;
303;0;;0;;;compania;0;tiempo;0;NAS;21;seguridad;0;previo;0;
311;0;;0;;;compania;16;tiempo;0;NAS;0;seguridad;0;previo;0;
322;0;;0;;;compania;39;tiempo;0;NAS;0;seguridad;0;previo;0;
322;0;;0;;;compania;0;tiempo;0;NAS;6;seguridad;0;previo;0;
324;1;Carrier;0;BOS;;compania;;tiempo;;NAS;;seguridad;;previo;;
326;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;
329;1;Carrier;0;;;compania;;tiempo;;NAS;;seguridad;;previo;;
333;0;;0;;;compania;74;tiempo;0;NAS;0;seguridad;0;previo;0;
345;0;;0;;;compania;70;tiempo;0;NAS;0;seguridad;0;previo;0;
348;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;34;
364;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;
365;0;;0;;;compania;0;tiempo;0;NAS;103;seguridad;0;previo;0;
371;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;86;
388;0;;0;;;compania;0;tiempo;7;NAS;0;seguridad;0;previo;0;
388;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;11;
393;0;;0;;;compania;0;tiempo;0;NAS;31;seguridad;0;previo;0;
394;0;;0;;;compania;0;tiempo;0;NAS;30;seguridad;0;previo;0;
395;0;;0;;;compania;19;tiempo;0;NAS;0;seguridad;0;previo;0;
395;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;
396;0;;0;;;compania;0;tiempo;0;NAS;122;seguridad;0;previo;0;
397;0;;0;;;compania;0;tiempo;0;NAS;65;seguridad;0;previo;0;
398;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;76;
399;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;52;
401;0;;0;;;compania;0;tiempo;0;NAS;47;seguridad;0;previo;0;
402;0;;0;;;compania;0;tiempo;0;NAS;79;seguridad;0;previo;0;
402;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;3;
404;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;0;
404;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;13;
405;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;0;
405;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;39;
408;0;;0;;;compania;0;tiempo;0;NAS;42;seguridad;0;previo;0;
409;0;;0;;;compania;0;tiempo;0;NAS;47;seguridad;0;previo;0;
412;0;;0;;;compania;21;tiempo;0;NAS;0;seguridad;0;previo;0;
413;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;
415;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;
416;0;;0;;;compania;0;tiempo;0;NAS;128;seguridad;0;previo;0;
417;0;;0;;;compania;0;tiempo;0;NAS;83;seguridad;0;previo;0;
418;0;;0;;;compania;0;tiempo;0;NAS;87;seguridad;0;previo;0;
420;0;;0;;;compania;0;tiempo;11;NAS;0;seguridad;0;previo;0;
420;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;9;
421;0;;0;;;compania;18;tiempo;0;NAS;0;seguridad;0;previo;0;
421;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;30;
423;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;
423;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;13;
424;0;;0;;;compania;0;tiempo;0;NAS;30;seguridad;0;previo;0;
424;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;16;
426;0;;0;;;compania;0;tiempo;0;NAS;116;seguridad;0;previo;0;
427;0;;0;;;compania;0;tiempo;0;NAS;65;seguridad;0;previo;0;
428;0;;0;;;compania;0;tiempo;4;NAS;0;seguridad;0;previo;0;
428;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;93;
429;0;;0;;;compania;18;tiempo;0;NAS;0;seguridad;0;previo;0;
429;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;41;
430;0;;0;;;compania;37;tiempo;0;NAS;0;seguridad;0;previo;0;
431;0;;0;;;compania;0;tiempo;0;NAS;16;seguridad;0;previo;0;
437;0;;0;;;compania;10;tiempo;0;NAS;0;seguridad;0;previo;0;
437;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;44;
439;0;;0;;;compania;0;tiempo;0;NAS;36;seguridad;0;previo;0;
439;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;5;
440;0;;0;;;compania;0;tiempo;0;NAS;80;seguridad;0;previo;0;
441;0;;0;;;compania;0;tiempo;0;NAS;50;seguridad;0;previo;0;
441;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;1;
442;0;;0;;;compania;0;tiempo;2;NAS;0;seguridad;0;previo;0;
442;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;19;
443;0;;0;;;compania;0;tiempo;0;NAS;8;seguridad;0;previo;0;
443;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;69;
450;1;Carrier;0;;;compania;;tiempo;;NAS;;seguridad;;previo;;
451;0;;0;;;compania;0;tiempo;0;NAS;78;seguridad;0;previo;0;
451;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;13;
452;0;;0;;;compania;0;tiempo;0;NAS;29;seguridad;0;previo;0;
453;0;;0;;;compania;0;tiempo;5;NAS;0;seguridad;0;previo;0;
453;0;;0;;;compania;0;tiempo;0;NAS;5;seguridad;0;previo;0;
453;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;76;
455;0;;0;;;compania;0;tiempo;0;NAS;113;seguridad;0;previo;0;
456;0;;0;;;compania;0;tiempo;0;NAS;3;seguridad;0;previo;0;
456;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;39;
457;0;;0;;;compania;0;tiempo;0;NAS;108;seguridad;0;previo;0;
458;0;;0;;;compania;0;tiempo;6;NAS;0;seguridad;0;previo;0;
458;0;;0;;;compania;0;tiempo;0;NAS;21;seguridad;0;previo;0;
459;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;47;
461;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;
462;0;;0;;;compania;0;tiempo;0;NAS;80;seguridad;0;previo;0;
469;0;;0;;;compania;0;tiempo;0;NAS;57;seguridad;0;previo;0;
473;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;0;
473;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;24;
481;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;
485;0;;0;;;compania;0;tiempo;0;NAS;100;seguridad;0;previo;0;
486;0;;0;;;compania;0;tiempo;0;NAS;51;seguridad;0;previo;0;
487;0;;0;;;compania;0;tiempo;12;NAS;0;seguridad;0;previo;0;
487;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;63;
493;0;;0;;;compania;20;tiempo;0;NAS;0;seguridad;0;previo;0;
493;0;;0;;;compania;0;tiempo;0;NAS;50;seguridad;0;previo;0;
501;0;;0;;;compania;0;tiempo;0;NAS;19;seguridad;0;previo;0;
511;0;;0;;;compania;0;tiempo;0;NAS;70;seguridad;0;previo;0;
512;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;0;
512;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;6;
515;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;18;
524;0;;0;;;compania;0;tiempo;4;NAS;0;seguridad;0;previo;0;
524;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;42;
532;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;0;
543;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;
555;0;;0;;;compania;17;tiempo;0;NAS;0;seguridad;0;previo;0;
555;0;;0;;;compania;0;tiempo;0;NAS;14;seguridad;0;previo;0;
555;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;98;
558;0;;0;;;compania;94;tiempo;0;NAS;0;seguridad;0;previo;0;
558;0;;0;;;compania;0;tiempo;0;NAS;29;seguridad;0;previo;0;
560;0;;0;;;compania;20;tiempo;0;NAS;0;seguridad;0;previo;0;
560;0;;0;;;compania;0;tiempo;0;NAS;6;seguridad;0;previo;0;
565;0;;0;;;compania;34;tiempo;0;NAS;0;seguridad;0;previo;0;
565;0;;0;;;compania;0;tiempo;0;NAS;6;seguridad;0;previo;0;
568;0;;0;;;compania;8;tiempo;0;NAS;0;seguridad;0;previo;0;
568;0;;0;;;compania;0;tiempo;0;NAS;4;seguridad;0;previo;0;
568;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;36;
580;0;;0;;;compania;61;tiempo;0;NAS;0;seguridad;0;previo;0;
582;0;;0;;;compania;136;tiempo;0;NAS;0;seguridad;0;previo;0;
585;0;;0;;;compania;0;tiempo;0;NAS;45;seguridad;0;previo;0;
596;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;
601;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;
606;0;;0;;;compania;0;tiempo;14;NAS;0;seguridad;0;previo;0;
606;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;46;
